track,lessonId,chapterId,chapterTitleJa,chapterTitleZh,lessonIndexInChapter,lessonTitleJa,lessonTitleZh,audioRelPath
Track001,ch01-l01,ch01,人と人との関係,人际关系篇,1,家族,家人,resources/audio/extracted/万词对策N2/Track001.mp3
Track002,ch01-l02,ch01,人と人との関係,人际关系篇,2,友達,朋友,resources/audio/extracted/万词对策N2/Track002.mp3
Track003,ch01-l03,ch01,人と人との関係,人际关系篇,3,知人・付き合い,熟人、交际,resources/audio/extracted/万词对策N2/Track003.mp3
Track004,ch01-l04,ch01,人と人との関係,人际关系篇,4,恋人,恋人,resources/audio/extracted/万词对策N2/Track004.mp3
Track005,ch01-l05,ch01,人と人との関係,人际关系篇,5,関係悪化,关系恶化,resources/audio/extracted/万词对策N2/Track005.mp3
Track006,ch02-l01,ch02,暮らし,生活篇,1,住まい,居住,resources/audio/extracted/万词对策N2/Track006.mp3
Track007,ch02-l02,ch02,暮らし,生活篇,2,お金,金钱,resources/audio/extracted/万词对策N2/Track007.mp3
Track008,ch02-l03,ch02,暮らし,生活篇,3,食事,用餐,resources/audio/extracted/万词对策N2/Track008.mp3
Track009,ch02-l04,ch02,暮らし,生活篇,4,買い物,购物,resources/audio/extracted/万词对策N2/Track009.mp3
Track010,ch02-l05,ch02,暮らし,生活篇,5,時を表す言葉,时间,resources/audio/extracted/万词对策N2/Track010.mp3
Track011,ch03-l01,ch03,家で,家庭篇,1,朝,早晨,resources/audio/extracted/万词对策N2/Track011.mp3
Track012,ch03-l02,ch03,家で,家庭篇,2,日課,每日惯例,resources/audio/extracted/万词对策N2/Track012.mp3
Track013,ch03-l03,ch03,家で,家庭篇,3,料理,烹饪,resources/audio/extracted/万词对策N2/Track013.mp3
Track014,ch03-l04,ch03,家で,家庭篇,4,家事,家务,resources/audio/extracted/万词对策N2/Track014.mp3
Track015,ch03-l05,ch03,家で,家庭篇,5,引っ越し,搬家,resources/audio/extracted/万词对策N2/Track015.mp3
Track016,ch04-l01,ch04,町,城市篇,1,町,城市,resources/audio/extracted/万词对策N2/Track016.mp3
Track017,ch04-l02,ch04,町,城市篇,2,役所,政府机关,resources/audio/extracted/万词对策N2/Track017.mp3
Track018,ch04-l03,ch04,町,城市篇,3,ふるさと,故乡,resources/audio/extracted/万词对策N2/Track018.mp3
Track019,ch04-l04,ch04,町,城市篇,4,交通,交通,resources/audio/extracted/万词对策N2/Track019.mp3
Track020,ch04-l05,ch04,町,城市篇,5,産業,产业,resources/audio/extracted/万词对策N2/Track020.mp3
Track021,ch05-l01,ch05,学校で,学校篇,1,学校,学校,resources/audio/extracted/万词对策N2/Track021.mp3
Track022,ch05-l02,ch05,学校で,学校篇,2,勉強,学习,resources/audio/extracted/万词对策N2/Track022.mp3
Track023,ch05-l03,ch05,学校で,学校篇,3,試験,考试,resources/audio/extracted/万词对策N2/Track023.mp3
Track024,ch05-l04,ch05,学校で,学校篇,4,大学・大学院,大学、研究生院,resources/audio/extracted/万词对策N2/Track024.mp3
Track025,ch05-l05,ch05,学校で,学校篇,5,パソコン（スマホ）,电脑/智能手机,resources/audio/extracted/万词对策N2/Track025.mp3
Track026,ch06-l01,ch06,会社で,公司篇,1,就職,就业,resources/audio/extracted/万词对策N2/Track026.mp3
Track027,ch06-l02,ch06,会社で,公司篇,2,会社,公司,resources/audio/extracted/万词对策N2/Track027.mp3
Track028,ch06-l03,ch06,会社で,公司篇,3,仕事,工作,resources/audio/extracted/万词对策N2/Track028.mp3
Track029,ch06-l04,ch06,会社で,公司篇,4,上下関係,上下级关系,resources/audio/extracted/万词对策N2/Track029.mp3
Track030,ch06-l05,ch06,会社で,公司篇,5,退職・転職,离职、换工作,resources/audio/extracted/万词对策N2/Track030.mp3
Track031,ch07-l01,ch07,お気に入り,爱好篇,1,競技,比赛,resources/audio/extracted/万词对策N2/Track031.mp3
Track032,ch07-l02,ch07,お気に入り,爱好篇,2,ファッション,时尚,resources/audio/extracted/万词对策N2/Track032.mp3
Track033,ch07-l03,ch07,お気に入り,爱好篇,3,エンターテインメント,娱乐,resources/audio/extracted/万词对策N2/Track033.mp3
Track034,ch07-l04,ch07,お気に入り,爱好篇,4,本,书,resources/audio/extracted/万词对策N2/Track034.mp3
Track035,ch07-l05,ch07,お気に入り,爱好篇,5,趣味・好み,兴趣、爱好,resources/audio/extracted/万词对策N2/Track035.mp3
Track036,ch08-l01,ch08,自然・レジャー,自然、休闲篇,1,気候と天気,气候与天气,resources/audio/extracted/万词对策N2/Track036.mp3
Track037,ch08-l02,ch08,自然・レジャー,自然、休闲篇,2,台風・地震,台风、地震,resources/audio/extracted/万词对策N2/Track037.mp3
